ORIGIN,market_distance,market_fare,PASSENGERS,Origin_population,long,lat
ABE,1033.379959,185.4418125,11796,712594,-75.44080352783203,40.652099609375
ABI,1083.881715,271.8371365,2029,152888,-99.68190002440001,32.4113006592
ABQ,1116.205418,200.7096693,65491,834685,-106.609001,35.040199
ACK,577.1051882,228.8571117,6322,11327,-70.06020355,41.25310135
ACT,1032.135083,267.2838348,1562,191064,-97.23049926757812,31.611299514770508
ACV,1263.995849,268.352885,2409,122814,-124.109,40.978101
ACY,855.2275172,61.97870109,10786,236224,-74.57720184326172,39.45759963989258
ADQ,1470.319496,319.2404291,2144,13303,-152.4940033,57.75
AEX,1151.87635,314.6369721,2685,152717,-92.54979705810547,31.32740020751953
AGS,1052.369441,254.8504527,7533,534612,-81.9645004272461,33.36989974975586
ALB,1305.3221,228.9386929,37625,819105,-73.80169677734375,42.74829864501953
ALW,1052.096171,184.3210151,1123,57035,-118.288002,46.09489822
AMA,913.5376592,227.7232323,8245,197654,-101.706001,35.219398
ANC,2234.815748,290.5424924,65861,359341,-149.99600219726562,61.174400329589844
ASE,1196.296122,342.984615,7220,2888227,-106.8690033,39.22320175
ATL,910.6878639,188.7119909,448391,3087755,-84.428101,33.6367
ATW,1138.55246,250.2204099,8759,181552,-88.5190963745,44.258098602299995
AUS,1191.393869,178.7422801,189342,874516,-97.6698989868164,30.194499969482422
AVL,836.4358464,162.3515337,20108,409001,-82.541801,35.436199
AVP,1268.216467,249.0532961,7336,559537,-75.72339630130001,41.338500976599995
AZA,974.5047894,80.93377149,17330,4287323,-111.6549988,33.30780029
AZO,1075.813947,258.6329106,3714,304822,-85.5521011352539,42.234901428222656
BDL,1292.384999,217.3203768,78130,1173575,-72.68319702149999,41.9388999939
BET,830.8271822,199.1580434,1707,6080,-161.8379974,60.77980042
BFL,1489.701295,295.2877374,3244,569829,-119.0569992,35.43360138
BGM,1321.327971,556.3840572,1119,248959,-75.97979736,42.20869827
BGR,1278.571947,260.5160782,10202,146301,-68.8281021118164,44.80739974975586
BHM,971.2180242,240.3121524,34143,1027178,-86.75350189,33.56290054
BIL,1187.338497,250.8121217,11684,144229,-108.54299926757812,45.807701110839844
BIS,1195.725943,245.7433491,7181,84535,-100.74600219726562,46.772701263427734
BLI,1075.154223,135.0163121,8170,133330,-122.53800201416016,48.79280090332031
BLV,780.4847151,76.24415007,4318,2603363,-89.835197,38.5452
BMI,1034.415875,187.5233213,5266,135395,-88.91590118,40.47710037
BNA,929.6759452,182.5121342,180201,1086033,-86.6781997680664,36.1245002746582
BOI,1065.247371,194.2381067,50208,749202,-116.223,43.5644
BOS,1338.935151,200.914728,400254,8269386,-71.00520325,42.36429977
BQK,920.8952473,267.1257517,1031,85493,-81.46649932861328,31.258800506591797
BQN,1467.288344,154.2009317,8039,342495,-67.12940216064453,18.49489974975586
BRO,1226.784921,291.0980613,2971,357097,-97.4259033203125,25.90679931640625
BTR,1014.723808,261.9823975,9001,641721,-91.149597,30.533199
BTV,1256.260521,237.4637991,18820,201094,-73.15329742429999,44.471900939899996
BUF,1049.059351,192.5769951,61819,1190660,-78.73220062,42.94049835
BUR,813.6572812,151.0468349,77034,22585772,-118.35900115966797,34.20069885253906
BWI,1140.992343,176.0089709,232198,2669702,-76.668297,39.1754
BZN,1344.850989,250.6108082,23448,54103,-111.1529999,45.77750015
CAE,1062.768969,261.0472021,14089,673209,-81.11949920654297,33.93880081176758
CAK,950.1507341,209.2906108,8923,676549,-81.44219970703125,40.916099548339844
CHA,957.4614038,229.6598854,12566,492354,-85.20379638671875,35.035301208496094
CHO,1088.461442,237.3565343,8766,182525,-78.4529037475586,38.13859939575195
CHS,974.3209541,189.4194266,55631,566543,-80.04049683,32.89860153
CID,1086.930612,218.7180912,15680,212870,-91.71080017089844,41.884700775146484
CLE,1059.661497,176.2925304,114457,2130938,-81.8498001099,41.4117012024
CLL,1089.018994,264.583648,1790,161371,-96.36380005,30.58860016
CLT,891.1097857,218.5818595,177300,1135592,-80.94309997558594,35.2140007019043
CMH,1024.685259,200.348672,92384,1509212,-82.891899,39.998001
