,origin,dest,market_coupons,market_distance,market_fare,PASSENGERS
0,ABE,ABI,3.0,1575.0,401.39,2.0
1,ABE,ABQ,2.1052631578947367,1837.2631578947369,283.08894736842103,38.0
2,ABE,ABR,3.0,1210.0,169.0,1.0
3,ABE,ABY,2.0,837.0,379.5,1.0
4,ABE,ACK,2.0,285.0,348.0,1.0
5,ABE,AEX,2.0,1192.0,288.75,2.0
6,ABE,AGS,2.0,734.2941176470588,206.94117647058823,17.0
7,ABE,ALB,2.0,267.0,326.0,1.0
8,ABE,ALO,2.0,888.0,191.0,1.0
9,ABE,ALS,3.0,1851.0,325.0,1.0
10,ABE,AMA,3.0,1729.0,289.5,1.0
11,ABE,ANC,2.3076923076923075,3639.0384615384614,374.40384615384625,26.0
12,ABE,APN,2.0,623.0,303.25,2.0
13,ABE,ASE,2.0,1667.0,512.0,2.0
14,ABE,ATL,1.1109243697478992,707.0016806722689,236.27142857142857,595.0
15,ABE,ATW,2.0,743.3809523809524,372.49285714285713,21.0
16,ABE,AUS,2.011764705882353,1531.7058823529412,251.19752941176472,85.0
17,ABE,AVL,2.0,706.0,202.03812499999998,16.0
18,ABE,AZO,2.0,627.25,200.6875,8.0
19,ABE,BDL,2.0,251.0,302.5,1.0
20,ABE,BFL,3.0,2555.0,389.805,2.0
21,ABE,BGR,2.0,498.85714285714283,249.07142857142858,7.0
22,ABE,BHM,2.0,843.0,274.791,40.0
23,ABE,BIL,3.0,1849.0,500.75,2.0
24,ABE,BIS,2.5,1363.25,310.945,4.0
25,ABE,BLI,3.0,2526.0,427.0,1.0
26,ABE,BMI,2.0,997.5,313.5,2.0
27,ABE,BNA,1.1916299559471366,713.4052863436124,90.49127753303964,454.0
28,ABE,BOI,2.25,2116.625,396.98375,8.0
29,ABE,BOS,2.0,310.0,179.33926470588236,68.0
30,ABE,BQK,2.0,930.0,315.0,1.0
31,ABE,BQN,3.0,2958.0,349.0,1.0
33,ABE,BRO,3.0,1937.0,481.0,1.0
34,ABE,BTR,2.0,1148.0,245.905,12.0
35,ABE,BTV,2.0,390.0,196.1,5.0
36,ABE,BUF,2.0,334.0,247.0,1.0
37,ABE,BUR,2.0,2633.0,205.5,2.0
38,ABE,BZN,2.085714285714286,1911.7428571428572,296.39742857142863,35.0
39,ABE,CAE,2.054054054054054,694.027027027027,242.43432432432436,37.0
40,ABE,CAK,2.0,434.25,149.8175,4.0
41,ABE,CHA,2.0,759.2142857142857,267.78464285714284,28.0
42,ABE,CHS,2.02,759.56,197.30679999999995,50.0
43,ABE,CID,2.0,927.3684210526316,242.50684210526316,19.0
44,ABE,CLE,2.0434782608695654,643.1739130434783,277.69,23.0
45,ABE,CLT,1.1855345911949686,501.29559748427675,263.8405974842767,318.0
46,ABE,CMH,2.0,656.890625,218.5803125,64.0
47,ABE,CMI,2.0,789.0,333.6666666666667,3.0
48,ABE,COD,2.6666666666666665,1865.6666666666667,260.31666666666666,3.0
49,ABE,COS,2.0,1668.6666666666667,309.0,9.0
50,ABE,COU,2.0,969.0,293.4,5.0
51,ABE,CPR,3.0,2226.0,274.0,1.0
52,ABE,CRP,3.0,1771.0,571.5,1.0
53,ABE,CRW,2.3333333333333335,709.6666666666666,438.5,3.0
54,ABE,CSG,2.0,775.0,114.5,4.0
55,ABE,CVG,2.0,715.9148936170212,277.9812765957447,47.0
56,ABE,CWA,2.0,855.7142857142857,276.7142857142857,7.0
57,ABE,DAB,2.022222222222222,994.2222222222222,212.3202222222222,45.0
58,ABE,DAL,2.0,1413.0,380.2,5.0
59,ABE,DAY,2.0,652.7058823529412,255.8005882352941,34.0
60,ABE,DBQ,2.0,801.0,5.5,1.0
61,ABE,DCA,2.0,204.66666666666666,393.0,3.0
62,ABE,DEN,2.0217391304347827,1679.304347826087,267.7555072463768,138.0
63,ABE,DFW,2.033333333333333,1438.7266666666667,250.79453333333333,150.0
64,ABE,DHN,2.0,862.0,262.25,4.0
65,ABE,DIK,3.0,2160.0,497.0,1.0
66,ABE,DLH,2.0,1051.0,214.25,6.0
67,ABE,DRO,3.0,1922.0,239.0,1.0
68,ABE,DSM,2.073170731707317,1052.5365853658536,294.59024390243906,41.0
69,ABE,DTW,1.0222222222222221,430.8395061728395,223.86451851851854,405.0
70,ABE,EAU,2.0,923.0,122.0,1.0
71,ABE,ECP,2.1538461538461537,932.0769230769231,214.45384615384617,13.0
72,ABE,EGE,3.0,1979.3333333333333,185.68999999999997,3.0
73,ABE,ELP,2.125,1928.125,317.60125,16.0
74,ABE,ERI,2.0,589.0,238.16666666666666,6.0
75,ABE,ESC,2.0,731.0,171.83333333333334,3.0
76,ABE,EUG,2.6666666666666665,2783.6666666666665,284.44666666666666,6.0
77,ABE,EVV,2.0,976.6666666666666,269.1144444444444,9.0
78,ABE,EWN,2.0,702.0,206.66666666666666,9.0
79,ABE,EWR,1.0,67.0,194.0,1.0
80,ABE,EYW,2.0,1314.1363636363637,173.85363636363635,22.0
81,ABE,FAI,2.4,3622.0,366.238,5.0
82,ABE,FAR,2.142857142857143,1206.0,249.21428571428572,7.0
83,ABE,FAT,2.625,2597.875,272.3725,8.0
84,ABE,FAY,2.0,646.1111111111111,250.94444444444446,9.0
85,ABE,FCA,2.4,2178.4,429.034,5.0
86,ABE,FLG,3.0,2311.0,299.09000000000003,2.0
87,ABE,FLL,1.3898809523809523,1092.2142857142858,121.349375,336.0
88,ABE,FLO,2.0,580.0,205.5,5.0
89,ABE,FNT,2.0,877.0,270.0,2.0
90,ABE,FSD,2.1,1225.7,286.729,10.0
91,ABE,FSM,2.6666666666666665,1532.3333333333333,418.83666666666664,3.0
92,ABE,FWA,2.0,697.2307692307693,323.5515384615385,13.0
93,ABE,GEG,2.5555555555555554,2390.222222222222,261.0677777777778,9.0
94,ABE,GJT,3.0,1920.0,495.0,3.0
95,ABE,GNV,2.0454545454545454,965.0909090909091,230.8509090909091,22.0
96,ABE,GPT,2.0,1045.6470588235295,270.47058823529414,17.0
97,ABE,GRB,2.0,785.2631578947369,242.20368421052632,19.0
98,ABE,GRI,3.0,1919.0,355.0,1.0
99,ABE,GRR,2.0,721.46,233.74880000000005,50.0
100,ABE,GSO,2.0,645.1666666666666,240.1954166666667,48.0
101,ABE,GSP,2.0,638.2857142857143,234.56107142857144,56.0
