ORIGIN,market_coupons,market_distance,market_fare,PASSENGERS,Origin_population
ABE,1.490420482,1033.379959,185.4418125,11796,712594
ABI,2.040906851,1083.881715,271.8371365,2029,152888
ABQ,1.50431357,1116.205418,200.7096693,65491,834685
ACK,1.350363809,577.1051882,228.8571117,6322,11327
ACT,2.058898848,1032.135083,267.2838348,1562,191064
ACV,1.750103778,1263.995849,268.352885,2409,122814
ACY,1.027257556,855.2275172,61.97870109,10786,236224
ADQ,1.924906716,1470.319496,319.2404291,2144,13303
AEX,1.962011173,1151.87635,314.6369721,2685,152717
AGS,2.039824771,1052.369441,254.8504527,7533,534612
ALB,1.619641196,1305.3221,228.9386929,37625,819105
ALW,1.717720392,1052.096171,184.3210151,1123,57035
AMA,1.693026076,913.5376592,227.7232323,8245,197654
ANC,1.58538437,2234.815748,290.5424924,65861,359341
ASE,1.723822715,1196.296122,342.984615,7220,2888227
ATL,1.104892828,910.6878639,188.7119909,448391,3087755
ATW,1.788674506,1138.55246,250.2204099,8759,181552
AUS,1.342153352,1191.393869,178.7422801,189342,874516
AVL,1.465635568,836.4358464,162.3515337,20108,409001
AVP,1.90417121,1268.216467,249.0532961,7336,559537
AZA,1,974.5047894,80.93377149,17330,4287323
AZO,2.014270328,1075.813947,258.6329106,3714,304822
BDL,1.487802381,1292.384999,217.3203768,78130,1173575
BET,1.343878149,830.8271822,199.1580434,1707,6080
BFL,1.851109741,1489.701295,295.2877374,3244,569829
BGM,1.987488829,1321.327971,556.3840572,1119,248959
BGR,1.671534993,1278.571947,260.5160782,10202,146301
BHM,1.630583136,971.2180242,240.3121524,34143,1027178
BIL,1.716193085,1187.338497,250.8121217,11684,144229
BIS,1.705890544,1195.725943,245.7433491,7181,84535
BLI,1.331334149,1075.154223,135.0163121,8170,133330
BLV,1,780.4847151,76.24415007,4318,2603363
BMI,1.531522978,1034.415875,187.5233213,5266,135395
BNA,1.265897526,929.6759452,182.5121342,180201,1086033
BOI,1.488687062,1065.247371,194.2381067,50208,749202
BOS,1.195068631,1338.935151,200.914728,400254,8269386
BQK,1.820562561,920.8952473,267.1257517,1031,85493
BQN,1.215200896,1467.288344,154.2009317,8039,342495
BRO,1.86502861,1226.784921,291.0980613,2971,357097
BTR,1.81168759,1014.723808,261.9823975,9001,641721
BTV,1.687300744,1256.260521,237.4637991,18820,201094
BUF,1.447855837,1049.059351,192.5769951,61819,1190660
BUR,1.216709505,813.6572812,151.0468349,77034,22585772
BWI,1.203029311,1140.992343,176.0089709,232198,2669702
