,origin,dest,market_coupons,market_distance,market_fare,PASSENGERS
0,ABE,ATL,1.0,692.0,231.73372693726935,542.0
6,ABE,MYR,1.0,518.0,72.25116373477672,739.0
8,ABE,PGD,1.0,1018.0,78.68303703703704,675.0
10,ABE,PIE,1.0,970.0,90.112918395574,723.0
12,ABE,SFB,1.0,882.0,75.75070938215103,1748.0
17,ABQ,ATL,1.0,1269.0,262.4950557103064,718.0
18,ABQ,AUS,1.0,619.0,118.23722891566266,1079.0
24,ABQ,BWI,1.0,1670.0,254.81032735775528,1283.0
30,ABQ,DAL,1.0,580.0,174.42604780433572,1799.0
32,ABQ,DEN,1.0,349.0,127.50601410342512,2978.0
33,ABQ,DFW,1.0,569.0,210.03939778129956,1262.0
38,ABQ,HOU,1.0,759.0,193.88580159433127,1129.0
40,ABQ,IAH,1.0,744.0,234.51626943005184,579.0
43,ABQ,JFK,1.0,1826.0,187.29089979550102,978.0
44,ABQ,LAS,1.0,486.0,127.72112871287128,2525.0
45,ABQ,LAX,1.0,677.0,149.69693746796514,3902.0
50,ABQ,MDW,1.0,1121.0,201.60322121604136,773.0
53,ABQ,MSP,1.0,981.0,235.6216479400749,534.0
55,ABQ,OAK,1.0,889.0,154.00066378845116,1853.0
58,ABQ,ORD,1.0,1118.0,238.16441544885174,958.0
60,ABQ,PDX,1.0,1111.0,201.63246666666666,600.0
61,ABQ,PHX,1.0,328.0,153.79271841704718,3285.0
68,ABQ,SAN,1.0,628.0,115.27082281439925,2139.0
71,ABQ,SEA,1.0,1180.0,179.61981070496086,1532.0
72,ABQ,SFO,1.0,896.0,165.53534968210715,1101.0
75,ABQ,SLC,1.0,493.0,255.04860169491522,708.0
84,ACK,BOS,1.0,91.0,156.3325354969574,493.0
86,ACK,DCA,1.0,405.0,207.16554545454548,660.0
87,ACK,EWR,1.0,218.0,185.14596916299558,454.0
89,ACK,JFK,1.0,199.0,190.05850672328378,1413.0
90,ACK,LGA,1.0,202.0,185.3718610747051,763.0
93,ACV,LAX,1.0,577.0,199.03516629711748,451.0
95,ACY,ATL,1.0,679.0,50.621530531324346,1261.0
96,ACY,FLL,1.0,977.0,73.99875626043406,2396.0
97,ACY,MCO,1.0,852.0,64.01035507246377,2760.0
98,ACY,MYR,1.0,466.0,47.304514705882355,1360.0
99,ACY,RSW,1.0,982.0,56.88505681818182,1408.0
100,ACY,TPA,1.0,913.0,57.60226890756302,1309.0
102,ADQ,ANC,1.0,253.0,159.4991024287223,947.0
111,ALB,ATL,1.0,853.0,230.0063203463204,1155.0
114,ALB,BWI,1.0,289.0,169.46573940847324,1251.0
116,ALB,CLT,1.0,646.0,230.99629737609328,686.0
118,ALB,DCA,1.0,318.0,210.8859746251442,867.0
119,ALB,DEN,1.0,1610.0,167.14010895883777,826.0
120,ALB,DTW,1.0,489.0,252.90482504604054,543.0
122,ALB,FLL,1.0,1204.0,170.59118811881189,1212.0
129,ALB,MCO,1.0,1073.0,139.09623859649125,2850.0
130,ALB,MDW,1.0,717.0,207.23146044624747,493.0
136,ALB,ORD,1.0,723.0,242.29678407350687,1306.0
138,ALB,PGD,1.0,1185.0,77.14859813084112,535.0
143,ALB,RDU,1.0,544.0,61.30393835616438,584.0
152,ALB,TPA,1.0,1130.0,154.8491844416562,797.0
157,AMA,DAL,1.0,323.0,143.6240144478844,969.0
159,AMA,DFW,1.0,312.0,189.6505785123967,605.0
164,AMA,LAS,1.0,758.0,133.77208,500.0
178,ANC,ADQ,1.0,253.0,155.98928809788654,899.0
181,ANC,BET,1.0,399.0,153.4067969924812,1330.0
183,ANC,BRW,1.0,725.0,218.48820851688694,681.0
185,ANC,DEN,1.0,2405.0,360.88521126760565,710.0
190,ANC,EWR,1.0,3370.0,494.50462526766603,467.0
191,ANC,FAI,1.0,261.0,115.94503509891513,3134.0
192,ANC,HNL,1.0,2777.0,276.0817600896861,892.0
195,ANC,JNU,1.0,571.0,178.24180649112063,1633.0
198,ANC,LAX,1.0,2345.0,268.7038521400778,1799.0
199,ANC,MSP,1.0,2519.0,265.0700992829564,1813.0
201,ANC,OME,1.0,539.0,215.60285180572856,803.0
202,ANC,ORD,1.0,2846.0,334.0685205267235,1291.0
203,ANC,OTZ,1.0,548.0,174.37611612903225,775.0
204,ANC,PDX,1.0,1542.0,203.1318832649339,2193.0
207,ANC,SCC,1.0,626.0,344.95514009661844,1035.0
208,ANC,SEA,1.0,1448.0,193.0346908685417,8071.0
221,ASE,LAX,1.0,737.0,284.7144086021505,744.0
226,ATL,ABE,1.0,692.0,229.3841592920354,565.0
227,ATL,ABQ,1.0,1269.0,262.5086333771353,761.0
